,train_times,accuracies,avg_losses
0,41.36513540299984,23.837288597926896,2.4644878040471627
1,41.384204701999806,23.837288597926896,2.4636473203796188
2,41.542017351999675,23.837288597926896,2.463184259555958
3,41.35910624900043,,
4,41.95607721600027,,
5,41.29877011099961,,
6,42.04549859799954,,
7,41.19967224500033,,
8,41.18034971999987,,
9,41.75723934399957,,
10,41.19884480000019,,
11,41.431783287000144,,
12,41.48492823600009,,
13,41.76972369500072,,
14,41.723530483000104,,
15,41.318117389999315,,
16,41.19572976800009,,
17,41.34880737599997,,
18,41.24969863499973,,
19,41.025294561999544,,
20,41.90875710099954,,
21,41.54861431399968,,
22,41.22569146400019,,
23,41.0921006640001,,
24,41.54236945100001,,
25,41.518403273999866,,
26,41.20361410700025,,
27,41.861633342999994,,
28,41.418501266999556,,
29,41.65482630999941,,
30,41.31278133199976,,
31,41.887698053999884,,
32,41.25699287900079,,
33,41.050551583000015,,
34,41.3506507940001,,
35,41.2838360629994,,
36,41.02278042999933,,
37,41.32222412899955,,
38,41.38046614599989,,
39,41.2404854159995,,
40,41.261450881999735,,
41,41.29560006700012,,
42,41.33873873600078,,
43,41.412988305999534,,
44,41.144148933,,
45,41.464516142999855,,
46,41.484088776000135,,
47,41.18802652800059,,
48,41.004312468000535,,
49,41.251373424999656,,
50,41.26343932799955,,
51,41.11339361799946,,
52,41.530341185,,
53,41.94075484200039,,
