model,val MCDL,val IoU,test MCDL,test IoU,is best val MCDL,is best val IoU,is best test MCDL,is best test IoU
100%,0.515668443271092,0.30761700192228764,0.48589106400807697,0.3278621240655758,False,False,False,False
IPAD_75%,0.5210722301687513,0.30666333633679854,0.49764172236124676,0.3286446971721391,False,False,False,False
IPAD_50%,0.5204327659947532,0.3111835407193811,0.5074368814627329,0.3249418936583053,False,False,False,False
IPAD_30%,0.4857418068817684,0.3298355690680631,0.48579006393750507,0.3395577297976758,True,True,False,False
random_75%,0.5077125430107117,0.31567766495170796,0.47679634888966876,0.33481154551685294,False,False,False,False
random_50%,0.5097655270780835,0.31292752623071757,0.49239229162534076,0.3375400826331558,False,False,False,False
random_30%,0.5106389479977744,0.32425374152387854,0.468351016441981,0.3475566105161337,False,False,True,True
uniform_75%,0.5233498854296548,0.3086139722195444,0.4909662107626597,0.33387978384521566,False,False,False,False
uniform_50%,0.5311874960150037,0.2979610787964397,0.5179498791694641,0.31712259252472214,False,False,False,False
uniform_30%,0.5001771875790187,0.3153129231470703,0.4999106725056966,0.3281402647543215,False,False,False,False
